food_Code,food_Nm,nation_Std_Food_Grupp_Code_Nm,food_Wgh,allrgy_Info,food_Image_Address
F02658,우유,우유류 및 유제품,5.00,우유,
F02712,콩기름,유지류,2.50,대두(콩),
F02876,"소금, 천일염, 가는소금",조미료류,2.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,65.00,null,
F02535,"오징어, 생것",어패류 및 기타 수산물,50.00,오징어,
F02514,"새우, 흰다리새우, 생것",어패류 및 기타 수산물,15.00,새우,
F01001,"양파, 생것",채소류,15.00,null,
F01165,"피망, 초록색, 생것",채소류,5.00,null,
F00702,"당근, 뿌리, 생것",채소류,3.00,null,
F02840,굴 소스,조미료류,2.00,"어패류(굴, 전복, 홍합 포함)",
F02712,콩기름,유지류,1.00,대두(콩),
F02876,"소금, 천일염, 가는소금",조미료류,0.30,null,
F00739,"마늘, 생것",채소류,0.30,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,55.00,null,
F01557,"닭고기, 가슴, 생것",육류,40.00,닭고기,
F02712,콩기름,유지류,8.00,대두(콩),
F02825,"간장, 개량, 양조",조미료류,5.80,대두(콩),
F01182,"호박, 애호박, 생것",채소류,5.00,null,
F01149,"파, 대파, 생것",채소류,5.00,null,
F01045,"우엉, 생것",채소류,5.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg
F02888,"식초, 양조",조미료류,1.50,null,
F00386,물엿,당류,0.50,null,
F02710,참기름,유지류,0.40,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,51.00,null,
F01612,"돼지고기, 등심, 생것",육류,40.00,돼지고기,
F01165,"피망, 초록색, 생것",채소류,5.00,null,
F01001,"양파, 생것",채소류,5.00,null,
F00702,"당근, 뿌리, 생것",채소류,5.00,null,
F02712,콩기름,유지류,2.00,대두(콩),
F01149,"파, 대파, 생것",채소류,1.50,null,
F02825,"간장, 개량, 양조",조미료류,1.00,대두(콩),
F00739,"마늘, 생것",채소류,1.00,null,
F02710,참기름,유지류,0.30,null,
F02928,"후추, 흰색, 가루",조미료류,0.10,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.10,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,110.00,null,
F01431,"아보카도, 생것",과일류,50.00,null,
F01875,"달걀, 생것",난류,40.00,난류,
F03111,"명태, 알, 양념젓갈(명란젓)",어패류 및 기타 수산물,10.00,null,
F01106,"치커리, 잎, 생것",채소류,5.00,null,
F02710,참기름,유지류,2.00,null,
F00866,"부추, 두메부추, 생것",채소류,2.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.30,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,50.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F01488,"파인애플, 생것",과일류,20.00,null,
F01877,"달걀, 삶은것",난류,15.00,난류,
F02514,"새우, 흰다리새우, 생것",어패류 및 기타 수산물,15.00,새우,
F01155,"파프리카, 빨간색, 생것",채소류,5.00,null,
F01165,"피망, 초록색, 생것",채소류,5.00,null,
F01001,"양파, 생것",채소류,5.00,null,
F02705,옥수수기름,유지류,3.00,null,
F01149,"파, 대파, 생것",채소류,2.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.50,null,
F02840,굴 소스,조미료류,0.50,"어패류(굴, 전복, 홍합 포함)",
F00739,"마늘, 생것",채소류,0.50,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,50.00,null,
F03175,"소고기, 한우(1++등급), 안심, 생것",육류,10.00,null,
F00615,"고사리, 생것",채소류,10.00,null,
F01001,"양파, 생것",채소류,5.00,null,
F00702,"당근, 뿌리, 생것",채소류,5.00,null,
F02825,"간장, 개량, 양조",조미료류,3.00,대두(콩),
F02712,콩기름,유지류,2.00,대두(콩),
F00394,"설탕, 백설탕",당류,2.00,null,
F00739,"마늘, 생것",채소류,1.00,null,
F02928,"후추, 흰색, 가루",조미료류,0.10,null,
F02858,맛술,조미료류,0.10,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F01875,"달걀, 생것",난류,50.00,난류,
F01431,"아보카도, 생것",과일류,30.00,null,
F03111,"명태, 알, 양념젓갈(명란젓)",어패류 및 기타 수산물,10.00,null,
F01106,"치커리, 잎, 생것",채소류,5.00,null,
F01001,"양파, 생것",채소류,5.00,null,
F02712,콩기름,유지류,2.00,대두(콩),
F00866,"부추, 두메부추, 생것",채소류,2.00,null,
F00996,"양배추, 적색, 생것",채소류,2.00,null,
F02710,참기름,유지류,0.50,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.30,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,70.00,null,
F01875,"달걀, 생것",난류,30.00,난류,
F02514,"새우, 흰다리새우, 생것",어패류 및 기타 수산물,20.00,새우,
F01489,"파인애플, 통조림, 고형물",과일류,10.00,null,
F01001,"양파, 생것",채소류,10.00,null,
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F02712,콩기름,유지류,3.00,대두(콩),
F01149,"파, 대파, 생것",채소류,3.00,null,
F02840,굴 소스,조미료류,2.00,"어패류(굴, 전복, 홍합 포함)",
F01155,"파프리카, 빨간색, 생것",채소류,2.00,null,
F01165,"피망, 초록색, 생것",채소류,2.00,null,
F01153,"파프리카, 노란색, 생것",채소류,2.00,null,
F03386,"마늘, 다진것",채소류,2.00,null,
F00454,"대두, 콩가루",두류,1.00,대두(콩),
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.50,null,
F02875,"소금, 천일염",조미료류,0.30,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F01875,"달걀, 생것",난류,20.00,난류,
F01165,"피망, 초록색, 생것",채소류,10.00,null,
F01001,"양파, 생것",채소류,10.00,null,
F01157,"파프리카, 주황색, 생것",채소류,7.00,null,
F01155,"파프리카, 빨간색, 생것",채소류,7.00,null,
F01153,"파프리카, 노란색, 생것",채소류,7.00,null,
F02840,굴 소스,조미료류,5.00,"어패류(굴, 전복, 홍합 포함)",
F02712,콩기름,유지류,5.00,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,40.00,null,
F00664,"김치, 배추 김치",채소류,20.00,null,
F02666,"치즈, 체다",우유류 및 유제품,15.00,우유,
F01001,"양파, 생것",채소류,10.00,null,
F02712,콩기름,유지류,3.00,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,40.00,null,
F01875,"달걀, 생것",난류,15.00,난류,
F03240,"소고기, 한우(1++등급), 우둔, 생것",육류,10.00,null,
F01001,"양파, 생것",채소류,5.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,5.00,null,
F00702,"당근, 뿌리, 생것",채소류,2.00,null,
F02825,"간장, 개량, 양조",조미료류,1.00,대두(콩),
F03462,"버터, 무가염",유지류,1.00,null,
F01165,"피망, 초록색, 생것",채소류,1.00,null,
F02840,굴 소스,조미료류,0.50,"어패류(굴, 전복, 홍합 포함)",
F02710,참기름,유지류,0.30,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.30,null,
F02712,콩기름,유지류,0.20,대두(콩),
F00396,"설탕, 황설탕",당류,0.20,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F01557,"닭고기, 가슴, 생것",육류,50.00,닭고기,
F00866,"부추, 두메부추, 생것",채소류,15.00,null,
F00568,"호두, 볶은것",견과 및 종실류,5.00,호두,
F00538,"아몬드, 볶은것",견과 및 종실류,5.00,null,
F02838,고춧가루,조미료류,2.00,null,
F02710,참기름,유지류,1.00,null,
F00739,"마늘, 생것",채소류,1.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.50,null,
F01557,"닭고기, 가슴, 생것",육류,120.00,닭고기,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F01117,"콩나물, 생것",채소류,50.00,null,
F02836,"고추장, 개량",조미료류,15.00,대두(콩),
F01035,"오이, 다다기, 생것",채소류,10.00,null,
F00996,"양배추, 적색, 생것",채소류,10.00,null,
F00993,"양배추, 생것",채소류,8.00,null,
F01001,"양파, 생것",채소류,7.00,null,
F02843,데리야끼 소스,조미료류,5.00,대두(콩),
F00702,"당근, 뿌리, 생것",채소류,5.00,null,
F00866,"부추, 두메부추, 생것",채소류,3.00,null,
F02816,"발효주, 청주, 알코올 16%",주류,2.00,null,
F01106,"치커리, 잎, 생것",채소류,2.00,null,
F00394,"설탕, 백설탕",당류,1.50,null,
F02885,"식초, 사과식초",조미료류,1.00,null,
F02825,"간장, 개량, 양조",조미료류,1.00,대두(콩),
F02789,"탄산 음료, 사이다",음료류,1.00,null,
F02710,참기름,유지류,1.00,null,
F03295,"적양무, 어린잎, 생것",채소류,1.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.50,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,55.00,null,
F01875,"달걀, 생것",난류,20.00,난류,
F01165,"피망, 초록색, 생것",채소류,10.00,null,
F01001,"양파, 생것",채소류,10.00,null,
F01157,"파프리카, 주황색, 생것",채소류,7.00,null,
F01155,"파프리카, 빨간색, 생것",채소류,7.00,null,
F01153,"파프리카, 노란색, 생것",채소류,7.00,null,
F02840,굴 소스,조미료류,5.00,"어패류(굴, 전복, 홍합 포함)",
F02712,콩기름,유지류,2.00,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,70.00,null,
F01700,"소고기, 한우(1++등급), 등심, 생것",육류,30.00,쇠고기,
F01001,"양파, 생것",채소류,10.00,null,
F02914,"칠리, 가루",조미료류,7.00,null,
F01165,"피망, 초록색, 생것",채소류,7.00,null,
F01157,"파프리카, 주황색, 생것",채소류,7.00,null,
F01155,"파프리카, 빨간색, 생것",채소류,7.00,null,
F01153,"파프리카, 노란색, 생것",채소류,7.00,null,
F01129,"토마토, 생것",채소류,7.00,토마토,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_043.jpg
F02825,"간장, 개량, 양조",조미료류,6.00,대두(콩),
F02706,올리브유,유지류,6.00,null,
F01148,"파, 쪽파, 생것",채소류,1.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00815,"배추, 생것",채소류,20.00,null,
F00702,"당근, 뿌리, 생것",채소류,2.00,null,
F02825,"간장, 개량, 양조",조미료류,1.00,대두(콩),
F02688,들기름,유지류,1.00,null,
F02585,"다시마, 생것",해조류,1.00,null,
F00866,"부추, 두메부추, 생것",채소류,1.00,null,
F02838,고춧가루,조미료류,0.50,null,
F00739,"마늘, 생것",채소류,0.50,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,75.00,null,
F01875,"달걀, 생것",난류,60.00,난류,
F00664,"김치, 배추 김치",채소류,40.00,null,
F01617,"돼지고기, 목심, 생것",육류,40.00,돼지고기,
F01001,"양파, 생것",채소류,9.42,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,9.42,null,
F01165,"피망, 초록색, 생것",채소류,5.42,null,
F00265,"옥수수, 통조림, 가당",곡류 및 그 제품,3.15,null,
F02712,콩기름,유지류,3.00,대두(콩),
F00702,"당근, 뿌리, 생것",채소류,3.00,null,
F02710,참기름,유지류,1.89,null,
F02825,"간장, 개량, 양조",조미료류,1.00,대두(콩),
F02582,"김, 참김, 구운것",해조류,1.00,null,
F01149,"파, 대파, 생것",채소류,0.95,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.94,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.63,null,
F00739,"마늘, 생것",채소류,0.50,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,75.00,null,
F01875,"달걀, 생것",난류,60.00,난류,
F01117,"콩나물, 생것",채소류,40.00,null,
F01182,"호박, 애호박, 생것",채소류,30.00,null,
F00772,"무, 조선무, 생것",채소류,30.00,null,
F00646,"취나물, 곰취, 재배, 말린것",채소류,25.00,null,
F01701,"소고기, 한우(1++등급), 목심, 생것",육류,21.50,쇠고기,
F00612,"고비, 야생, 삶아서 말린것",채소류,20.00,null,
F01271,"표고버섯, 배지재배, 생것",버섯류,10.00,null,
F00708,"도라지, 뿌리, 생것",채소류,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_042.jpg
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F00917,"상추, 잎상추, 치마상추, 녹색, 생것",채소류,5.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,5.00,null,
F02710,참기름,유지류,2.00,null,
F02712,콩기름,유지류,1.00,대두(콩),
F00394,"설탕, 백설탕",당류,1.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,1.00,null,
F02875,"소금, 천일염",조미료류,0.50,null,
F02825,"간장, 개량, 양조",조미료류,0.50,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,70.00,null,
F00609,"고려엉겅퀴(곤드레), 재래종, 잎, 생것",채소류,40.00,null,
F00772,"무, 조선무, 생것",채소류,10.00,null,
F02825,"간장, 개량, 양조",조미료류,1.00,대두(콩),
F02710,참기름,유지류,1.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,1.00,null,
F01149,"파, 대파, 생것",채소류,1.00,null,
F02838,고춧가루,조미료류,0.50,null,
F00739,"마늘, 생것",채소류,0.40,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,60.00,null,
F01271,"표고버섯, 배지재배, 생것",버섯류,7.00,null,
F02825,"간장, 개량, 양조",조미료류,5.00,대두(콩),
F01241,"양송이버섯, 생것",버섯류,5.00,null,
F00702,"당근, 뿌리, 생것",채소류,3.00,null,
F02858,맛술,조미료류,1.00,null,
F00739,"마늘, 생것",채소류,0.50,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.30,null,
F02710,참기름,유지류,0.10,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,70.00,null,
F00772,"무, 조선무, 생것",채소류,40.00,null,
F00777,"무청, 시래기, 말린것, 삶은것",채소류,30.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_091.jpg
F02825,"간장, 개량, 양조",조미료류,2.00,대두(콩),
F01149,"파, 대파, 생것",채소류,2.00,null,
F02838,고춧가루,조미료류,1.00,null,
F02688,들기름,유지류,1.00,null,
F00739,"마늘, 생것",채소류,0.30,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,60.00,null,
F01117,"콩나물, 생것",채소류,40.00,null,
F00772,"무, 조선무, 생것",채소류,10.00,null,
F01271,"표고버섯, 배지재배, 생것",버섯류,5.00,null,
F02838,고춧가루,조미료류,2.50,null,
F02825,"간장, 개량, 양조",조미료류,2.00,대두(콩),
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,1.00,null,
F02710,참기름,유지류,0.50,null,
F00739,"마늘, 생것",채소류,0.50,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,70.00,null,
F02396,"소라, 생것",어패류 및 기타 수산물,30.00,"어패류(굴, 전복, 홍합 포함)",
F02620,"톳, 생것",해조류,4.00,null,
F02825,"간장, 개량, 양조",조미료류,2.00,대두(콩),
F01148,"파, 쪽파, 생것",채소류,2.00,null,
F00866,"부추, 두메부추, 생것",채소류,2.00,null,
F02710,참기름,유지류,1.00,null,
F03386,"마늘, 다진것",채소류,1.00,null,
F02875,"소금, 천일염",조미료류,0.20,null,
F00224,"보리, 겉보리, 늘보리, 도정, 생것",곡류 및 그 제품,30.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,20.00,null,
F02836,"고추장, 개량",조미료류,3.00,대두(콩),
F02710,참기름,유지류,1.00,null,
F02620,"톳, 생것",해조류,100.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F02710,참기름,유지류,20.00,null,
F01148,"파, 쪽파, 생것",채소류,10.00,null,
F02825,"간장, 개량, 양조",조미료류,5.00,대두(콩),
F00632,"고추, 청양고추, 생것",채소류,0.50,null,
F00622,"고추, 빨간색, 생것",채소류,0.50,null,
F02875,"소금, 천일염",조미료류,0.20,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00609,"고려엉겅퀴(곤드레), 재래종, 잎, 생것",채소류,50.00,null,
F00576,"가지, 생것",채소류,30.00,null,
F01001,"양파, 생것",채소류,5.00,null,
F00702,"당근, 뿌리, 생것",채소류,3.00,null,
F02825,"간장, 개량, 양조",조미료류,2.00,대두(콩),
F01148,"파, 쪽파, 생것",채소류,2.00,null,
F01149,"파, 대파, 생것",채소류,2.00,null,
F01155,"파프리카, 빨간색, 생것",채소류,2.00,null,
F01165,"피망, 초록색, 생것",채소류,2.00,null,
F01153,"파프리카, 노란색, 생것",채소류,2.00,null,
F02838,고춧가루,조미료류,1.00,null,
F02688,들기름,유지류,1.00,null,
F00396,"설탕, 황설탕",당류,1.00,null,
F00739,"마늘, 생것",채소류,0.30,null,
F00470,두부,두류,80.00,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,60.00,null,
F02847,"된장, 개량",조미료류,20.00,대두(콩),
F01182,"호박, 애호박, 생것",채소류,20.00,null,
F01251,"큰느타리버섯(새송이버섯), 생것",버섯류,20.00,null,
F00683,"냉이, 생것",채소류,15.00,null,
F02710,참기름,유지류,10.00,null,
F01149,"파, 대파, 생것",채소류,5.00,null,
F00620,"고추, 풋고추, 생것",채소류,3.00,null,
F00622,"고추, 빨간색, 생것",채소류,3.00,null,
F00356,"전분, 감자, 가루",감자 및 전분류,2.00,밀,
F01179,"호박, 단호박, 생것",채소류,100.00,null,
F01001,"양파, 생것",채소류,30.00,null,
F00661,"김치, 깍두기",채소류,35.00,null,
F01155,"파프리카, 빨간색, 생것",채소류,40.00,null,
F00576,"가지, 생것",채소류,90.00,null,
F00470,두부,두류,50.00,대두(콩),
F03220,"멥쌀, 백미, 신동진, 밥",곡류 및 그 제품,180.00,null,
F00929,"갯나물, 세발나물, 생것",채소류,10.00,null,
F03386,"마늘, 다진것",채소류,5.00,null,
F02847,"된장, 개량",조미료류,12.00,대두(콩),
F02928,"후추, 흰색, 가루",조미료류,0.30,null,
F02688,들기름,유지류,4.00,null,
F03198,"멥쌀, 백미, 신동진, 생것",곡류 및 그 제품,70.00,null,
F02586,"다시마, 말린것",해조류,3.00,null,
F01001,"양파, 생것",채소류,40.00,null,
F01148,"파, 쪽파, 생것",채소류,6.00,null,
F00632,"고추, 청양고추, 생것",채소류,3.00,null,
F00622,"고추, 빨간색, 생것",채소류,2.00,null,
F02535,"오징어, 생것",어패류 및 기타 수산물,20.00,오징어,
F02553,"주꾸미, 생것",어패류 및 기타 수산물,30.00,null,
F02605,"미역, 양식, 생것",해조류,35.00,null,
F02514,"새우, 흰다리새우, 생것",어패류 및 기타 수산물,10.00,새우,
F02688,들기름,유지류,1.00,null,
F03386,"마늘, 다진것",채소류,1.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.30,null,
F00495,"들깨, 볶은것",견과 및 종실류,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,150.00,null,
F02384,"바지락, 생것",어패류 및 기타 수산물,100.00,"어패류(굴, 전복, 홍합 포함)",
F03175,"소고기, 한우(1++등급), 안심, 생것",육류,25.00,null,
F03640,생수,음료류,300.00,null,
F02710,참기름,유지류,15.00,null,
F02928,"후추, 흰색, 가루",조미료류,1.00,null,
F03386,"마늘, 다진것",채소류,30.00,null,
F01182,"호박, 애호박, 생것",채소류,25.00,null,
F01001,"양파, 생것",채소류,45.00,null,
F01035,"오이, 다다기, 생것",채소류,25.00,null,
F00702,"당근, 뿌리, 생것",채소류,25.00,null,
F01271,"표고버섯, 배지재배, 생것",버섯류,25.00,null,
F00470,두부,두류,50.00,대두(콩),
F01143,"갯나물, 퉁퉁마디(함초), 하우스, 생것",채소류,25.00,null,
F00730,"들깻잎, 생것",채소류,10.00,null,
F01149,"파, 대파, 생것",채소류,15.00,null,
F03198,"멥쌀, 백미, 신동진, 생것",곡류 및 그 제품,100.00,null,
F00977,"아스파라거스, 생것",채소류,5.00,null,
F01251,"큰느타리버섯(새송이버섯), 생것",버섯류,10.00,null,
F01875,"달걀, 생것",난류,40.00,난류,
F02482,"문어, 생것",어패류 및 기타 수산물,20.00,null,
F02514,"새우, 흰다리새우, 생것",어패류 및 기타 수산물,20.00,새우,
F02553,"주꾸미, 생것",어패류 및 기타 수산물,15.00,null,
F00772,"무, 조선무, 생것",채소류,20.00,null,
F01045,"우엉, 생것",채소류,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg
F00792,"미나리, 물미나리, 생것",채소류,5.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_062.jpg
F02836,"고추장, 개량",조미료류,20.00,대두(콩),
F02710,참기름,유지류,8.00,null,
F03640,생수,음료류,40.00,null,
F01045,"우엉, 생것",채소류,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg
F01024,"연근, 생것",채소류,20.00,null,
F00305,"감자, 대지, 생것",감자 및 전분류,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_067.jpg
F00627,"고추, 초록색, 녹광, 생것",채소류,10.00,null,
F01001,"양파, 생것",채소류,10.00,null,
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,100.00,null,
F01035,"오이, 다다기, 생것",채소류,70.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,1.00,null,
F02825,"간장, 개량, 양조",조미료류,6.00,대두(콩),
F02710,참기름,유지류,5.00,null,
F02712,콩기름,유지류,15.00,대두(콩),
F02872,"소금, 가공염, 퉁퉁마디(함초)",조미료류,2.00,null,
F03198,"멥쌀, 백미, 신동진, 생것",곡류 및 그 제품,80.00,null,
F00442,"완두, 생것",두류,10.00,null,
F01577,"닭고기, 살코기, 생것",육류,100.00,닭고기,
F01319,"대추, 생것",과일류,10.00,null,
F03079,"인삼, 수삼, 생것",기타,20.00,null,
F01001,"양파, 생것",채소류,20.00,null,
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F03641,"강황, 가루",조미료류,3.00,null,
F02858,맛술,조미료류,15.00,null,
F03198,"멥쌀, 백미, 신동진, 생것",곡류 및 그 제품,100.00,null,
F03526,"멥쌀, 현미, 신동진, 생것",곡류 및 그 제품,30.00,null,
F00305,"감자, 대지, 생것",감자 및 전분류,30.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_067.jpg
F03557,"고구마, 생것",감자 및 전분류,15.00,null,
F01001,"양파, 생것",채소류,15.00,null,
F01024,"연근, 생것",채소류,15.00,null,
F00702,"당근, 뿌리, 생것",채소류,15.00,null,
F01182,"호박, 애호박, 생것",채소류,15.00,null,
F01045,"우엉, 생것",채소류,15.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg
F00739,"마늘, 생것",채소류,3.00,null,
F00952,"시금치, 생것",채소류,5.00,null,
F01080,"참나물, 재배, 생것",채소류,10.00,null,
F00730,"들깻잎, 생것",채소류,5.00,null,
F00792,"미나리, 물미나리, 생것",채소류,5.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_062.jpg
F02586,"다시마, 말린것",해조류,2.00,null,
F02908,청국장,조미료류,30.00,대두(콩),
F00495,"들깨, 볶은것",견과 및 종실류,2.00,null,
F02706,올리브유,유지류,10.00,null,
F02688,들기름,유지류,8.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,150.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F02505,"새우, 중하, 생것",어패류 및 기타 수산물,50.00,새우,
F01489,"파인애플, 통조림, 고형물",과일류,100.00,null,
F01001,"양파, 생것",채소류,60.00,null,
F00627,"고추, 초록색, 녹광, 생것",채소류,15.00,null,
F01153,"파프리카, 노란색, 생것",채소류,20.00,null,
F01155,"파프리카, 빨간색, 생것",채소류,20.00,null,
F00739,"마늘, 생것",채소류,15.00,null,
F01875,"달걀, 생것",난류,60.00,난류,
F02712,콩기름,유지류,30.00,대두(콩),
F02928,"후추, 흰색, 가루",조미료류,1.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,1.00,null,
F02825,"간장, 개량, 양조",조미료류,6.00,대두(콩),
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,10.00,null,
F00305,"감자, 대지, 생것",감자 및 전분류,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_067.jpg
F01001,"양파, 생것",채소류,10.00,null,
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F01163,"피망, 빨간색, 생것",채소류,5.00,null,
F01557,"닭고기, 가슴, 생것",육류,20.00,닭고기,
F03220,"멥쌀, 백미, 신동진, 밥",곡류 및 그 제품,200.00,null,
F00872,"브로콜리, 생것",채소류,10.00,null,
F01132,"토마토, 방울토마토, 생것",채소류,20.00,토마토,
F02656,"요구르트, 호상, 플레인",우유류 및 유제품,15.00,우유,
F02928,"후추, 흰색, 가루",조미료류,0.10,null,
F01139,"토마토, 통조림, 페이스트",채소류,20.00,토마토,
F02924,"파프리카, 가루",조미료류,3.00,null,
F02915,"카레 소스, 가루",조미료류,15.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,210.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F01875,"달걀, 생것",난류,60.00,난류,
F00470,두부,두류,20.00,대두(콩),
F01693,"소고기, 한우, 등심, 생것",육류,20.00,쇠고기,
F02712,콩기름,유지류,15.00,대두(콩),
F01200,"느타리버섯, 생것",버섯류,10.00,null,
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F00993,"양배추, 생것",채소류,10.00,null,
F01001,"양파, 생것",채소류,10.00,null,
F00356,"전분, 감자, 가루",감자 및 전분류,10.00,밀,
F01276,"표고버섯, 참나무재배, 생것",버섯류,10.00,null,
F00739,"마늘, 생것",채소류,1.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,1.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,210.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F01577,"닭고기, 살코기, 생것",육류,60.00,닭고기,
F02712,콩기름,유지류,15.00,대두(콩),
F01200,"느타리버섯, 생것",버섯류,10.00,null,
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F00993,"양배추, 생것",채소류,10.00,null,
F01001,"양파, 생것",채소류,10.00,null,
F00356,"전분, 감자, 가루",감자 및 전분류,10.00,밀,
F01279,"표고버섯, 참나무재배, 말린것, 삶은것",버섯류,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_073.jpg
F00739,"마늘, 생것",채소류,1.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.50,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,210.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
